Tanggal,Tahun,Bulan,T_avg,RH_avg,RR,Prediction_base_on_RH,Prediction_base_on_T
2020-06-25,2020,6,29.6,70.0,0.0,1.8170458582305402,0.8925020205294345
2020-06-26,2020,6,28.9,78.0,0.0,2.2421309352747483,1.8115981920010071
2020-06-27,2020,6,29.3,75.0,0.0,2.08272403138317,1.286400379731539
2020-06-28,2020,6,29.5,71.0,0.0,1.8701814928610663,1.023801473596805
2020-06-29,2020,6,29.8,68.0,0.0,1.710774588969488,0.6299031143947005
2020-06-30,2020,6,29.7,72.0,0.0,1.9233171274915923,0.761202567462071
2020-07-01,2020,7,29.8,70.0,0.0,0.0,0.0
2020-07-02,2020,7,27.3,81.0,0.0,4.521485473070786,6.365456487661788
2020-07-03,2020,7,28.5,74.0,0.0,1.5358344929349883,1.8935742083631766
2020-07-04,2020,7,29.1,73.0,0.0,1.1093129243441595,0.0
2020-07-05,2020,7,28.5,69.0,0.0,0.0,1.8935742083631766
2020-07-06,2020,7,29.0,66.0,0.0,0.0,0.03028992532209429
2020-07-07,2020,7,28.3,75.0,0.0,1.962356061525817,2.6388879215796095
2020-07-08,2020,7,29.0,73.0,0.0,1.1093129243441595,0.03028992532209429
2020-07-09,2020,7,27.8,77.0,0.0,2.815399198707471,4.502172204620706
2020-07-10,2020,7,27.7,79.0,9.0,3.6684423358891287,4.8748290612289225
2020-07-11,2020,7,28.3,80.0,1.9,4.0949639044799575,2.6388879215796095
2020-07-12,2020,7,28.8,77.0,0.0,2.815399198707471,0.7756036385385272
2020-07-13,2020,7,29.1,72.0,0.0,0.6827913557533307,0.0
2020-07-14,2020,7,29.4,74.0,0.0,1.5358344929349883,0.0
2020-07-15,2020,7,27.3,82.0,0.0,4.948007041661615,6.365456487661788
2020-07-16,2020,7,28.4,79.0,0.2,3.6684423358891287,2.2662310649714072
2020-07-17,2020,7,28.6,77.0,1.0,2.815399198707471,1.5209173517549601
2020-07-18,2020,7,28.8,74.0,0.0,1.5358344929349883,0.7756036385385272
2020-07-19,2020,7,29.0,73.0,0.0,1.1093129243441595,0.03028992532209429
2020-07-20,2020,7,29.2,74.0,0.0,1.5358344929349883,0.0
2020-07-21,2020,7,28.9,74.0,0.0,1.5358344929349883,0.40294678193032496
2020-07-22,2020,7,29.4,72.0,0.0,0.6827913557533307,0.0
2020-07-23,2020,7,29.4,70.0,0.0,0.0,0.0
2020-07-24,2020,7,29.2,71.0,0.0,0.2562697871625019,0.0
2020-07-25,2020,7,28.7,72.0,0.0,0.6827913557533307,1.1482604951467579
2020-07-26,2020,7,28.4,64.0,0.0,0.0,2.2662310649714072
2020-07-27,2020,7,28.4,65.0,0.0,0.0,2.2662310649714072
2020-07-28,2020,7,28.4,68.0,0.0,0.0,2.2662310649714072
2020-07-29,2020,7,28.3,67.0,0.0,0.0,2.6388879215796095
2020-07-30,2020,7,28.2,70.0,0.0,0.0,3.01154477818784
2020-07-31,2020,7,28.0,60.0,0.0,0.0,3.756858491404273
2020-08-01,2020,8,27.7,69.0,0.0,1.4688328848193208,10.761467984900747
2020-08-02,2020,8,28.2,69.0,0.0,1.4688328848193208,7.1604792972487985
2020-08-03,2020,8,29.5,69.0,0.0,1.4688328848193208,0.0
2020-08-04,2020,8,29.5,70.0,0.0,1.7437366728622408,0.0
2020-08-05,2020,8,28.5,73.0,0.0,2.5684480369910005,4.999886084657646
2020-08-06,2020,8,29.1,73.0,0.0,2.5684480369910005,0.678699659475285
2020-08-07,2020,8,28.8,77.0,0.0,3.6680631891626803,2.8392928720664656
2020-08-08,2020,8,29.3,75.0,0.0,3.1182556130768404,0.0
2020-08-09,2020,8,28.6,80.0,32.0,4.49277455329144,4.279688347127234
2020-08-10,2020,8,29.0,78.0,0.5,3.9429669772056,1.3988973970056975
2020-08-11,2020,8,29.2,74.0,0.0,2.8433518250339205,0.0
2020-08-12,2020,8,29.0,74.0,0.0,2.8433518250339205,1.3988973970056975
2020-08-13,2020,8,27.1,83.0,0.0,5.317485917420203,15.08265441008308
2020-08-14,2020,8,27.5,82.0,68.3,5.0425821293772835,12.201863459961515
2020-08-15,2020,8,28.5,79.0,0.0,4.21787076524852,4.999886084657646
2020-08-16,2020,8,29.1,75.0,0.0,3.1182556130768404,0.678699659475285
2020-08-17,2020,8,29.4,71.0,0.0,2.0186404609051607,0.0
2020-08-18,2020,8,28.3,77.0,0.2,3.6680631891626803,6.440281559718414
2020-08-19,2020,8,29.0,75.0,0.0,3.1182556130768404,1.3988973970056975
2020-08-20,2020,8,29.3,75.0,0.0,3.1182556130768404,0.0
2020-08-21,2020,8,29.0,68.0,0.0,1.193929096776401,1.3988973970056975
2020-08-22,2020,8,29.0,64.0,0.0,0.0943139446047212,1.3988973970056975
2020-08-23,2020,8,29.5,66.0,0.0,0.6441215206905611,0.0
2020-08-24,2020,8,29.5,68.0,0.0,1.193929096776401,0.0
2020-08-25,2020,8,29.0,64.0,0.0,0.0943139446047212,1.3988973970056975
2020-08-26,2020,8,29.1,67.0,0.0,0.919025308733481,0.678699659475285
2020-08-27,2020,8,29.0,64.0,0.0,0.0943139446047212,1.3988973970056975
2020-08-28,2020,8,29.3,64.0,0.0,0.0943139446047212,0.0
2020-08-29,2020,8,29.9,64.0,0.0,0.0943139446047212,0.0
2020-08-30,2020,8,29.2,68.0,0.0,1.193929096776401,0.0
2020-08-31,2020,8,29.3,68.0,0.0,1.193929096776401,0.0
2020-09-01,2020,9,29.9,61.0,0.0,2.5620087893937225,1.0359209659094262
2020-09-02,2020,9,29.1,70.0,0.0,3.2183005125359943,1.9708740011116959
2020-09-03,2020,9,28.9,71.0,1.4,3.2912218151073587,2.204612259912274
2020-09-04,2020,9,30.2,68.0,0.0,3.072457907393267,0.6853135777085697
2020-09-05,2020,9,29.6,74.0,0.0,3.5099857228214493,1.3865283541102755
2020-09-06,2020,9,29.0,71.0,0.0,3.2912218151073587,2.0877431305119813
2020-09-07,2020,9,29.7,66.0,0.0,2.92661530225054,1.26965922470999
2020-09-08,2020,9,30.0,64.0,0.0,2.780772697107813,0.9190518365091407
2020-09-09,2020,9,30.3,62.0,0.0,2.634930091965086,0.5684444483082842
2020-09-10,2020,9,29.5,71.0,0.0,3.2912218151073587,1.503397483510561
2020-09-11,2020,9,29.3,70.0,0.0,3.2183005125359943,1.737135742311132
2020-09-12,2020,9,29.2,72.0,0.0,3.364143117678722,1.8540048717114175
2020-09-13,2020,9,29.2,67.0,0.0,2.9995366048219037,1.8540048717114175
2020-09-14,2020,9,28.9,71.0,0.0,3.2912218151073587,2.204612259912274
2020-09-15,2020,9,28.48,77.18,0.0,0.0,7.931199600526217
2020-09-16,2020,9,28.48,77.18,0.0,0.0,9.099890894529064
2020-09-17,2020,9,28.48,77.18,0.0,0.0,5.593817012520525
2020-09-18,2020,9,28.48,77.18,0.0,0.0,6.762508306523369
2020-09-19,2020,9,28.48,77.18,0.0,0.0,7.931199600526217
2020-09-20,2020,9,28.48,77.18,0.0,0.0,5.593817012520525
2020-09-21,2020,9,28.48,77.18,0.0,0.0,4.425125718517677
2020-09-22,2020,9,28.48,77.18,0.0,0.0,5.593817012520525
2020-09-23,2020,9,28.48,77.18,0.0,0.0,5.593817012520525
2020-09-24,2020,9,28.48,77.18,0.0,0.0,6.762508306523369
2020-09-25,2020,9,28.48,77.18,0.0,0.0,4.425125718517677
2020-09-26,2020,9,28.48,77.18,0.0,0.0,3.256434424514829
2020-09-27,2020,9,28.48,77.18,0.0,0.0,3.256434424514829
2020-09-28,2020,9,29.4,70.0,2.5,3.2183005125359943,1.6202666129108465
2020-09-29,2020,9,29.7,64.0,0.0,2.780772697107813,1.26965922470999
2020-09-30,2020,9,30.3,64.0,0.0,2.780772697107813,0.5684444483082842
2020-10-01,2020,10,30.3,70.0,0.0,1.2401298451395775,0.0
2020-10-02,2020,10,29.4,72.0,0.0,3.3998151045370406,2.261892614943747
2020-10-03,2020,10,27.8,78.0,0.0,9.878870882729444,12.376930255709055
2020-10-04,2020,10,28.4,74.0,12.5,5.559500363934518,8.583791140422079
2020-10-05,2020,10,28.8,68.0,17.3,0.0,6.0550317302307235
2020-10-06,2020,10,28.8,67.0,0.0,0.0,6.0550317302307235
2020-10-07,2020,10,29.7,68.0,0.0,0.0,0.3653230573002588
2020-10-08,2020,10,29.3,71.0,0.0,2.319972474838309,2.894082467491586
2020-10-09,2020,10,28.7,77.0,8.0,8.799028253030713,6.687221582778562
2020-10-10,2020,10,28.8,75.0,0.0,6.6393429936332495,6.0550317302307235
2020-10-11,2020,10,28.5,77.0,6.6,8.799028253030713,7.95160128787424
2020-10-12,2020,10,29.7,68.0,0.0,0.0,0.3653230573002588
2020-10-13,2020,10,29.5,70.0,0.0,1.2401298451395775,1.6297027623959082
2020-10-14,2020,10,29.8,70.0,0.0,1.2401298451395775,0.0
2020-10-15,2020,10,30.0,67.0,0.0,0.0,0.0
2020-10-16,2020,10,28.4,75.0,0.0,6.6393429936332495,8.583791140422079
2020-10-17,2020,10,28.7,75.0,48.5,6.6393429936332495,6.687221582778562
2020-10-18,2020,10,28.8,75.0,0.0,6.6393429936332495,6.0550317302307235
2020-10-19,2020,10,28.6,79.0,0.0,10.958713512428176,7.319411435326401
2020-10-20,2020,10,28.6,78.0,10.5,9.878870882729444,7.319411435326401
2020-10-21,2020,10,27.3,82.0,24.6,14.198241401524385,15.537879518448221
2020-10-22,2020,10,28.8,76.0,57.6,7.719185623331981,6.0550317302307235
2020-10-23,2020,10,29.8,68.0,0.0,0.0,0.0
2020-10-24,2020,10,29.2,72.0,0.0,3.3998151045370406,3.526272320039425
2020-10-25,2020,10,28.2,78.0,0.0,9.878870882729444,9.848170845517728
2020-10-26,2020,10,27.4,82.0,0.8,14.198241401524385,14.905689665900383
2020-10-27,2020,10,27.0,82.0,5.4,14.198241401524385,17.43444907609171
2020-10-28,2020,10,28.3,80.0,15.0,12.038556142126907,9.21598099296989
2020-10-29,2020,10,29.4,74.0,1.5,5.559500363934518,2.261892614943747
2020-10-30,2020,10,29.1,76.0,0.0,7.719185623331981,4.158462172587235
2020-10-31,2020,10,28.1,77.0,0.0,8.799028253030713,10.480360698065539
2020-11-01,2020,11,27.7,81.0,5.5,6.971692350235024,6.984498779799026
2020-11-02,2020,11,28.6,75.0,7.0,3.1568528620629053,4.117738475153473
2020-11-03,2020,11,28.8,74.0,0.0,2.5210462807008867,3.480680629676698
2020-11-04,2020,11,28.6,74.0,0.0,2.5210462807008867,4.117738475153473
2020-11-05,2020,11,27.3,83.0,3.0,8.243305512959061,8.258614470752605
2020-11-06,2020,11,27.7,86.0,5.0,10.150725257045117,6.984498779799026
2020-11-07,2020,11,28.9,80.0,10.0,6.3358857688730055,3.162151706938303
2020-11-08,2020,11,27.8,80.0,0.0,6.3358857688730055,6.665969857060631
2020-11-09,2020,11,29.1,71.0,1.0,0.6136265366148308,2.5250938614615137
2020-11-10,2020,11,29.5,77.0,0.0,4.4284660247869425,1.2509781705079348
2020-11-11,2020,11,29.9,72.0,0.0,1.2494331179768494,0.0
2020-11-12,2020,11,29.8,74.0,3.6,2.5210462807008867,0.2953914022927506
2020-11-13,2020,11,30.4,76.0,0.0,3.792659443424924,0.0
2020-11-14,2020,11,30.5,71.0,0.0,0.6136265366148308,0.0
2020-11-15,2020,11,30.7,68.0,0.0,0.0,0.0
2020-11-16,2020,11,29.7,74.0,0.0,2.5210462807008867,0.6139203250311596
2020-11-17,2020,11,29.3,78.0,0.0,5.064272606148961,1.8880360159847243
2020-11-18,2020,11,29.3,76.0,0.0,3.792659443424924,1.8880360159847243
2020-11-19,2020,11,30.2,72.0,0.0,1.2494331179768494,0.0
2020-11-20,2020,11,29.7,77.0,0.0,4.4284660247869425,0.6139203250311596
2020-11-21,2020,11,29.2,76.0,0.0,3.792659443424924,2.206564938723119
2020-11-22,2020,11,28.5,77.0,0.0,4.4284660247869425,4.436267397891882
2020-11-23,2020,11,28.0,81.0,0.0,6.971692350235024,6.0289120115838415
2020-11-24,2020,11,28.1,77.0,1.0,4.4284660247869425,5.710383088845447
2020-11-25,2020,11,28.3,78.0,15.0,5.064272606148961,5.073325243368657
2020-11-26,2020,11,28.7,77.0,26.0,4.4284660247869425,3.7992095524150926
2020-11-27,2020,11,29.4,70.0,0.0,0.0,1.5695070932463437
2020-11-28,2020,11,28.5,79.0,9.0,5.70007918751098,4.436267397891882
2020-11-29,2020,11,28.4,74.0,0.2,2.5210462807008867,4.754796320630277
2020-11-30,2020,11,27.8,76.0,1.0,3.792659443424924,6.665969857060631
2020-12-01,2020,12,29.4,70.0,0.0,0.0,0.0
2020-12-02,2020,12,29.4,70.0,0.0,0.0,0.0
2020-12-03,2020,12,26.9,79.0,5.0,5.329465346534668,9.844490920298156
2020-12-04,2020,12,27.8,80.0,1.4,6.061969196919705,5.714647327784064
2020-12-05,2020,12,27.5,80.0,14.4,6.061969196919705,7.09126185862209
2020-12-06,2020,12,26.0,90.0,32.5,13.387007700770141,13.974334512812234
2020-12-07,2020,12,26.1,88.0,34.8,11.922000000000054,13.515463002532883
2020-12-08,2020,12,28.4,78.0,7.2,4.596961496149625,2.961418266108012
2020-12-09,2020,12,28.9,75.0,9.3,2.399449944994494,0.6670607147113117
2020-12-10,2020,12,27.8,80.0,0.0,6.061969196919705,5.714647327784064
2020-12-11,2020,12,28.1,80.0,0.4,6.061969196919705,4.338032796946038
2020-12-12,2020,12,27.7,78.0,4.8,4.596961496149625,6.173518838063416
